NOMBRE_COMUNA,poblacion
ALHUÉ,12888
BUIN,193228
CALERA DE TANGO,50784
CERRILLOS,161664
CERRO NAVIA,265244
COLINA,292414
CONCHALÍ,253910
CURACAVÍ,65158
EL BOSQUE,325010
EL MONTE,71846
ESTACIÓN CENTRAL,294082
HUECHURABA,197342
INDEPENDENCIA,200562
ISLA DE MAIPO,72438
LA CISTERNA,180238
LA FLORIDA,733832
LA GRANJA,233142
LA PINTANA,354670
LA REINA,185574
LAMPA,204068
LAS CONDES,589676
LO BARNECHEA,211666
LO ESPEJO,197608
LO PRADO,192498
MACUL,233068
MAIPÚ,1043254
MARÍA PINTO,27180
MELIPILLA,247254
ÑUÑOA,416474
PADRE HURTADO,126500
PAINE,145518
PEDRO AGUIRRE CERDA,202348
PEÑAFLOR,180402
PEÑALOLÉN,483198
PIRQUE,53042
PROVIDENCIA,284158
PUDAHUEL,460586
PUENTE ALTO,1136212
QUILICURA,420820
QUINTA NORMAL,220052
RECOLETA,315702
RENCA,294302
SAN BERNARDO,602626
SAN JOAQUÍN,188984
SAN JOSÉ DE MAIPO,36378
SAN MIGUEL,215908
SAN PEDRO,19452
SAN RAMÓN,165800
SANTIAGO,808990
TALAGANTE,148474
TILTIL,38624
VITACURA,170768
